cell_name,cell_type,1250,1562,1953,2441,3052,3815,4768,5960,7451,9312,11640,14550,18188,22735,28419,35523,44304,55400,69250,86562,108203,135254,168442,200000
ITL23__767415421_stage_1_seed_1_hof_0,ITL23,3.75,3.9375,4.25,4.625,5.0625,5.6875,6.125,6.625,7.375,7.8125,8.4375,9.25,10,10.9375,12.25,13.75,15.4375,17.1875,19.5625,21.75,24.375,27.3125,30.625,33.5625
ITL23__767415421_stage_1_seed_2_hof_0,ITL23,4.6875,5,5.3125,5.6875,6.0625,6.4375,6.875,7.3125,7.75,8.1875,8.625,9.1875,9.8125,10.5,11.1875,11.9375,12.6875,13.5,14.3125,15.125,16.0625,16.9375,18.125,18.9375
ITL23__767433014_stage_1_seed_1_hof_0,ITL23,89.5,95.625,99.8125,99.875,100.1875,106.0625,113.5,120.8125,127.6875,134.625,141.75,148.4375,155.9375,163.5625,171.75,180.625,190.25,201.0625,213.375,227.25,243.5,263.4375,290.375,NaN
ITL23__767433014_stage_1_seed_2_hof_0,ITL23,96.625,101.125,105.375,108.6875,111.5625,113.8125,115.8125,119.3125,127.0625,135.875,144.875,153.5625,163.3125,173.0625,183.4375,194.5625,206.5,219.375,233.4375,248.75,266.5,289.0625,NaN,NaN
ITL23__767829778_stage_1_seed_1_hof_0,ITL23,54.375,58,61.8125,66.125,70.5,75.3125,80.3125,85.6875,91.4375,97.375,103.625,110.3125,117.4375,125.0625,132.625,140.8125,148.9375,157.8125,166.6875,176.75,188.25,202.125,223.9375,NaN
ITL23__768819569_stage_1_seed_1_hof_0,ITL23,25.25,27.0625,29.0625,31.1875,33.375,35.375,37.75,41.25,44.3125,48,52.6875,57.9375,63.8125,70.6875,79.3125,89,101.9375,117.3125,137.3125,164.6875,205,NaN,NaN,NaN
ITL23__768819569_stage_1_seed_2_hof_0,ITL23,79.125,85.9375,92.4375,100.875,109.375,119,130.375,143.5,160,184.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITL23__768848167_stage_1_seed_1_hof_0,ITL23,13.8125,14.5625,15.375,16.8125,17.9375,19.3125,20.9375,22.5625,24.6875,26.8125,29.25,32.875,36.5625,41.0625,45.375,52.1875,60.25,70.625,84.875,102.9375,126.375,155.4375,189.5,227.8125
ITL23__768848167_stage_1_seed_2_hof_0,ITL23,25.875,27.875,29.75,31.5625,33.375,35.125,37,38.9375,41.0625,43.3125,45.75,48.25,51.25,54.125,57.5625,61.25,65.25,69.75,74.4375,79.5625,85,90.3125,96.125,101.0625
ITL23__768867010_stage_1_seed_1_hof_0,ITL23,115.9375,127.5,138.5,150.0625,161.375,173.1875,185.1875,196.9375,209.5,222,235.125,248.375,262.4375,277.6875,294.9375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
